,PC1,PC2,PC3,PC4,PC5
LAT,0.0007959549081524707,0.008596510731505037,0.0005629395655775304,0.9501496132192588,9.391159143271032e-05
LON,-0.0006866477523311543,-0.0045775674413042755,-0.000549112030630107,-0.31071061158106034,-0.00014061303922850322
SOG,-0.010394565256669252,-0.025448522029882906,0.00029148263912920943,-0.023760592916037188,-0.00015234131831345498
COG,0.6671307873197513,-0.23419761504970849,-0.003867605831583068,0.001586362007042109,-0.00017213040116947104
Heading,0.33105591087851305,0.9431458349486953,0.003105564586521027,-0.010032402782166723,0.00010484011195427194
v_x,0.0029601279140074946,-0.0036957346254719615,0.00018523565003533335,-0.0019304376275313393,5.3236998616646226e-05
v_y,-0.011828342701024902,-0.0002479338996742947,0.0001704588777605759,0.00029166051384156496,0.00031898988127164815
turn_rate,0.003545339911500274,-0.004082399986703095,0.8798007249608896,-0.0005118167103443096,-0.4753107324165233
accel_knots_per_hr,2.002907998495944e-05,-8.432644455675686e-05,0.0004952198547172375,-0.0001889650738802741,-0.0005242663619835075
dayofweek,-0.0,0.0,0.0,4.1359030627651384e-25,0.0
month,1.5407439555097887e-33,0.0,-1.0097419586828951e-28,0.0,-6.776263578034403e-21
Δt_hours,7.888712166175628e-05,0.00040524356638359856,-5.503177174946116e-07,-0.00025429680115405997,-2.9313478526017214e-05
ΔCOG,0.002139050931553049,-0.0024152744799436463,0.4752998124884672,-0.0004299924685558045,0.8798177108907217
ΔSOG,0.00013902791913593979,-0.0001271281986930671,0.00044645970122625844,-0.0001466117925543156,-3.0015749601240224e-05
COG_rad,0.6671307978881656,-0.23419761478083748,-0.0038676059258656425,0.0015863636586215249,-0.00017213046763236934
